               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.2017,              2.0752,              1.4643,             0.69295,             0.69356,             0.73581,             0.49155,              1.0688,              1.1222,              1.4529,            0.070074,           0.0033251,           0.0033251
                   1,              1.1673,              1.3816,               1.387,             0.66628,             0.64036,             0.65998,             0.44019,              1.1766,              1.2824,              1.5122,            0.039745,           0.0063288,           0.0063288
                   2,              1.3195,              1.6578,              1.4882,              0.5699,             0.49633,             0.54303,             0.30965,              1.3675,              2.4245,              1.8147,           0.0090851,           0.0090026,           0.0090026
                   3,              1.4209,              1.8297,              1.5746,              0.4354,             0.39296,             0.38025,             0.21172,              1.5953,               2.277,              2.0253,            0.008515,            0.008515,            0.008515
                   4,               1.396,              1.7641,              1.5597,             0.72955,             0.60334,             0.68018,             0.42742,              1.2291,               1.367,              1.6185,            0.008515,            0.008515,            0.008515
                   5,              1.3233,              1.6537,              1.6447,             0.68067,             0.66326,             0.71593,             0.46764,               1.227,              1.3716,              1.6616,             0.00802,             0.00802,             0.00802
                   6,              1.2796,              1.4972,              1.6002,             0.66855,             0.70743,             0.70006,             0.45918,              1.1926,              1.4048,              1.6153,            0.007525,            0.007525,            0.007525
                   7,              1.2051,              1.3167,              1.5346,             0.79443,              0.7256,             0.79174,             0.53086,              1.1883,              1.1412,              1.5387,             0.00703,             0.00703,             0.00703
                   8,              1.1593,              1.2148,               1.501,             0.80715,             0.80904,             0.85323,             0.59732,              1.0873,             0.97585,              1.4521,            0.006535,            0.006535,            0.006535
                   9,              1.1151,              1.0935,              1.4401,               0.828,             0.81189,             0.87364,             0.61019,              1.0891,             0.92909,              1.4877,             0.00604,             0.00604,             0.00604
                  10,                1.06,              1.0116,               1.401,             0.83241,              0.8118,             0.86797,             0.61663,              1.0277,             0.85803,              1.4077,            0.005545,            0.005545,            0.005545
                  11,              1.0234,             0.93433,              1.3794,             0.79301,             0.85697,             0.88606,             0.64051,              1.0312,             0.79992,              1.4259,             0.00505,             0.00505,             0.00505
                  12,             0.98253,             0.86444,              1.3553,             0.84595,             0.84458,             0.88167,             0.64399,             0.98903,             0.79624,              1.3933,            0.004555,            0.004555,            0.004555
                  13,             0.94879,              0.7781,              1.3332,             0.90995,             0.90003,             0.91868,             0.69219,             0.92175,             0.65411,              1.3462,             0.00406,             0.00406,             0.00406
                  14,             0.91578,             0.72876,              1.2949,             0.88468,             0.87067,             0.92089,             0.70645,             0.92984,             0.66877,              1.3312,            0.003565,            0.003565,            0.003565
                  15,             0.86029,             0.66234,              1.2485,             0.90949,             0.89047,             0.92368,             0.71527,             0.90216,             0.59405,              1.3226,             0.00307,             0.00307,             0.00307
                  16,             0.83877,             0.61367,              1.2327,             0.91799,             0.91297,             0.94087,             0.72644,              0.8488,             0.55624,               1.254,            0.002575,            0.002575,            0.002575
                  17,             0.80212,             0.57114,              1.2047,             0.92033,              0.9147,             0.93739,             0.74001,               0.855,             0.53524,              1.2782,             0.00208,             0.00208,             0.00208
                  18,             0.78002,             0.52906,              1.1863,             0.92829,              0.9304,             0.94725,             0.76102,             0.84267,             0.51094,               1.261,            0.001585,            0.001585,            0.001585
                  19,             0.73939,             0.49878,              1.1576,             0.93754,             0.93362,             0.95698,             0.76147,              0.8337,             0.47872,              1.2653,             0.00109,             0.00109,             0.00109
